"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1001,68.8,58.1,10.0,1.3,-0.7,0.0,-14.4,-19.2,1.0,
1501,66.2,55.7,9.8,-4.9,-7.3,0.6,-11.4,-19.7,-10.9,
2002,65.2,55.9,5.6,-5.7,-8.3,-19.4,-8.4,-11.1,-12.6,
3003,59.4,55.0 *,9.6,-11.6,-13.0,-32.6,-5.1,-23.6,-5.0,
4004,65.0 *,57.2,6.4,-9.3,-11.3,-13.0,-9.5,-52.3,-10.8,
6006,67.9,55.0 *,-1.6,-10.5,-12.8,-15.3,-10.2,-24.5,-10.7,
7996,65.0 *,53.2,-4.9,-8.5,-10.9,-19.0,-20.5,-13.9,-14.9,
