"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1001,65.1,56.7,12.6,-4.5,-7.1,-5.9,-7.6,-13.0,-7.0,
1501,64.7,55.9,14.8,-8.0,-9.7,-15.0,-7.8,-14.6,-12.2,
2002,63.9,55.7,-4.6,-7.0,-9.7,-3.8,-15.3,-19.8,-11.8,
3003,63.3,56.9,10.7,-12.4,-15.1,-27.6,-10.4,-18.3,-8.0,
4004,66.1,57.0,9.6,-11.5,-13.7,-16.6,-12.6,-19.0,-14.2,
6006,66.8,55.0 *,7.2,-10.3,-12.5,-20.4,-13.1,-12.8,-8.7,
7996,64.4,55.2,-17.3,-11.0,-13.1,-14.3,-14.9,-15.6,-26.4,
