"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
4248,61.8,67.7,8.1,-10.2,-13.0,-13.4,-10.1,-16.1,-23.6,
4248,59.8,62.7,7.3,-12.4,-14.6,-16.9,-10.1,-16.0,-14.0,
4248,57.8,57.6,5.7,-10.9,-13.9,-14.0,-8.0,-13.5,-16.4,
4248,55.8,52.7,3.9,-10.0,-12.8,-15.1,-11.5,-13.2,-15.3,
4248,53.8,47.7,1.4,-17.2,-18.9,-18.7,-11.2,-17.1,-7.5,
4248,51.8,42.6,-2.8,-12.1,-14.6,-13.9,-17.4,-25.3,-13.0,
4248,49.8,37.6,-6.0,-12.2,-15.3,-21.2,-19.5,-15.8,-23.1,
4248,47.8,32.6,-15.9,-12.1,-14.3,-11.5,-22.9,-9.0,-26.7,
4248,45.8,27.6,-17.1,-12.3,-14.9,-17.8,-13.5,-9.4,-21.2,
4248,43.8,22.7,-21.2,-9.7,-12.7,-29.5,-16.8,-22.6,-10.7,
