"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1416,65.4,66.5,11.0,-5.2,-8.5,3.6,-13.8,-14.1,-20.4,
1416,63.4,61.4,10.5,-6.1,-8.0,-0.7,-15.0,-20.8,-15.7,
1416,61.4,56.5,11.1,-3.8,-6.6,-8.4,-12.3,-17.1,-19.4,
1416,59.4,51.4,10.1,-1.8,-4.7,-13.2,-30.1,-21.8,-13.1,
1416,57.4,46.5,6.7,-6.1,-8.6,-17.9,-10.5,-25.3,-11.0,
1416,55.4,41.4,6.1,-4.8,-7.2,-19.6,-10.8,-27.1,-10.5,
1416,53.4,36.5,0.0,-6.5,-7.8,-18.4,-8.6,-25.5,-10.1,
1416,51.5,31.5,-1.8,-7.1,-9.9,-28.9,-7.4,-19.5,-9.0,
1416,49.4,26.4,-9.0,-7.7,-10.5,-16.2,-13.6,-13.1,-3.3,
1416,47.4,21.5,-23.1,-7.8,-9.9,-21.8,-7.5,-15.2,-14.5,
