"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
4248,66.5,66.9,12.5,-11.2,-13.5,-14.1,-5.9,-9.9,-16.8,
4248,64.5,61.9,12.0,-14.0,-16.2,-19.8,-5.9,-14.6,-12.5,
4248,62.5,57.0,11.2,-10.3,-13.0,-15.2,-8.0,-22.6,-10.9,
4248,60.5,52.0,10.4,-14.4,-16.9,-10.3,-7.3,-13.7,-16.3,
4248,58.6,46.9,9.2,-9.6,-12.4,-12.7,-10.6,-15.9,-13.9,
4248,56.5,41.9,7.2,-13.3,-16.0,-13.3,-9.9,-7.9,-23.9,
4248,54.6,36.9,3.9,-10.7,-13.2,-23.0,-13.0,-45.6,-19.9,
4248,52.6,31.9,-0.1,-11.3,-13.7,-17.3,-9.8,-19.6,-16.8,
4248,50.5,26.9,-4.4,-10.3,-13.2,-22.2,-11.8,-15.4,-14.9,
4248,48.6,21.9,-13.6,-12.7,-15.2,-11.2,-12.3,-22.4,-11.5,
