"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1416,66.2,65.4,11.6,-6.7,-9.2,-1.0,-5.7,-12.7,-0.9,
1416,64.2,60.5,11.6,-3.4,-5.7,-6.7,-12.7,-22.2,0.5,
1416,62.1,55.5,11.8,-2.0,-4.3,-14.2,-13.1,-15.4,-2.0,
1416,60.2,50.5,8.7,-0.3,-2.5,-14.0,-25.3,-16.5,-14.2,
1416,58.2,45.5,6.3,-5.0,-7.1,-24.3,-8.3,-11.8,2.0,
1416,56.2,40.5,4.4,-5.2,-7.7,-39.2,-10.7,-12.7,0.4,
1416,54.2,35.4,0.5,-2.4,-5.0,-15.0,-4.3,-19.2,5.6,
1416,52.2,30.4,-15.5,-5.6,-7.7,-25.3,3.7,-25.6,-2.0,
1416,50.2,25.4,-9.8,-4.5,-6.3,-15.9,-17.3,-10.2,-0.7,
1416,48.3,20.3,-5.8,-2.9,-6.0,-26.4,-8.0,-22.4,-0.7,
