"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1001,67.4,56.2,8.9,0.4,-1.8,2.7,4.6,-10.7,9.4,
1501,66.4,56.0,6.3,-1.3,-3.3,-19.3,0.5,-14.0,7.9,
2002,65.0,55.5,10.8,-0.2,-2.4,-9.7,3.3,-14.7,2.2,
3003,58.2,52.9,10.7,-7.7,-10.5,-25.1,-10.5,-11.8,-8.5,
4004,65.3,56.1,9.4,-9.2,-11.7,-11.6,-10.4,-19.0,-15.0,
6006,67.8,57.9,11.2,-8.9,-10.6,-6.4,-13.6,-18.3,-18.6,
7996,67.8,53.9,3.1,-8.7,-10.9,-17.4,-16.8,-13.2,-21.3,
