"Freq (Hz)","F1 (dB)","F2 (dB)","DP (dB)","Noise+2sd (dB)","Noise+1sd (dB)","2F2-F1 (dB)","3F1-2F2 (dB)","3F2-2F1 (dB)","4F1-3F2 (dB)",
1416,67.8,66.3,16.2,-9.1,-12.0,-6.6,-11.9,-22.4,-13.8,
1416,65.9,61.3,16.5,-4.3,-7.3,-4.4,-7.9,-21.7,-8.4,
1416,63.9,56.3,16.5,-15.1,-16.7,-1.3,-12.5,-23.5,-19.0,
1416,61.9,51.4,15.1,-9.1,-11.2,-9.9,-13.4,-26.7,-2.7,
1416,59.9,46.5,12.4,-7.5,-10.3,-20.4,-13.3,-17.5,-17.1,
1416,58.0,41.5,9.0,-5.7,-8.6,-14.5,-14.2,-26.5,-11.8,
1416,55.9,36.5,5.4,-10.5,-13.3,-13.3,-17.7,-23.1,-13.7,
1416,54.0,31.7,0.6,-9.3,-11.4,-14.1,-12.5,-17.7,-10.1,
1416,52.0,26.7,-1.9,-10.1,-13.0,-33.2,-16.7,-16.8,-11.7,
1416,50.0,21.9,-30.0,-12.2,-14.4,-24.2,-12.1,-16.2,-13.9,
